ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	COGIDS	MORPHEMES	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAP	ALIGNMENT
481	69_ash	ASH	LencaSalvador	Lenca-Salvador	pilil	pilil	p i l i l	lenc1242	646	13.56	-87.50		0	0	?	1 7 5 7 5	AXBYN	PILIL	15	15.P.C 15.I.V 15.L.C 15.I.V 15.L.c	2.0 1.5 1.75 1.3 0.8	pilil	0	10	p i l i l
482	69_ash	ASH	LencaHonduras	Lenca-Honduras	pokko	pokko	p o k k o	lenc1243	646	13.67	-88.11		0	0	?	1 7 1 1 7	AXMBZ	PUKKU	14	14.P.C 14.U.V 14.K.c 14.K.C 14.U.V	2.0 1.5 1.1 1.75 0.8	pokko	0	1	p o k - - k o
483	69_ash	ASH	Cacaopera	Cacaopera	wabu	wabu	w a b u	caca1247	646	13.74	-88.11		0	0	?	6 7 1 7	AXBZ	WAPY	8	8.W.C 8.A.V 8.P.C 8.Y.V	2.0 1.5 1.75 0.8	wabu	0	6	w a b u
484	69_ash	ASH	Mayangna	Mayangna	wan	wan	w a n	maya1285	646	14.13	-84.34		0	0	?	6 7 4	AXN	WAN	18	18.W.C 18.A.V 18.N.c	2.0 1.5 0.8	wan	0	3	w - a n
485	69_ash	ASH	Ulwa	Ulwa	kauh	kauh	k a u h	ulwa1239	646	12.93	-83.58		0	0	?	1 7 7 3	AXYN	KAYH	25	25.K.C 25.A.V 25.Y.V 25.H.c	2.0 1.5 1.3 0.8	kauh	0	14	k a u h
486	69_ash	ASH	Miskito	Mískito	jamhpus	jamhpus	j a m h p u s	misk1239	646	15.16	-84.29		0	0	?	6 7 4 3 1 7 3	AXLMBYN	JAMHPYS	19	19.J.C 19.A.V 19.M.c 19.H.c 19.P.C 19.Y.V 19.S.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	jamhpus	0	11	j a m h p u s
487	69_ash	ASH	Pech	Pech	tokó	tokó	t o k ó/o	pech1241	646	15.80	-85.56		0	0	?	1 7 1 7	AXBZ	TUKU	21	21.T.C 21.U.V 21.K.C 21.U.V	2.0 1.5 1.75 0.8	tokó/o	0	13	t o k ó/o
488	69_ash	ASH	Rama	Rama	pluŋ	pluŋ	p l u ŋ	rama1270	646	11.50	-83.86		0	0	?	1 5 7 4	ACXN	PLYN	22	22.P.C 22.L.C 22.Y.V 22.N.c	2.0 1.5 1.5 0.8	pluŋ	0	3	p l u ŋ
489	69_ash	ASH	MalekuJaika	Maléku Jaíka	puɾu:	puɾu:	p u ɾ u:	male1297	646	10.75	-84.73		0	0	?	1 7 5 7	AXBZ	PYRY	17	17.P.C 17.Y.V 17.R.C 17.Y.V	2.0 1.5 1.75 0.8	puɾu:	0	4	p u ɾ - - u:
490	69_ash	ASH	Boruca	Boruca	bɾùŋ	bɾùŋ	b ɾ ù/u ŋ	boru1252	646	8.88	-83.21		0	0	?	1 5 7 4	ACXN	PRYN	4	4.P.C 4.R.C 4.Y.V 4.N.c	2.0 1.5 1.5 0.8	bɾù/uŋ	0	3	b ɾ ù/u ŋ
491	69_ash	ASH	Bribri	Bribri	buɺṹ	buɺṹ	b u ɺ ṹ/ũ	brib1243	646	9.40	-83.05		0	0	?	1 7 5 7	AXBZ	PYRY	5	5.P.C 5.Y.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	buɺṹ/ũ	0	4	b u ɺ - - ṹ/ũ
492	69_ash	ASH	Cabecar	Cabécar	buɺi᷅tú	buɺi᷅tú	b u ɺ i᷅/i t ú/u	cabe1245	646	9.67	-83.41		0	0	?	1 7 5 7 1 7	AXBYBZ	PYRITY	7	7.P.C 7.Y.V 7.R.C 7.I.V 7.T.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	buɺi᷅/itú/u	0	4	b u ɺ i᷅/i t ú/u
493	69_ash	ASH	Teribe	Teribe	ɸɺúŋ	ɸɺúŋ	ɸ ɺ ú/u ŋ	teri1250	646	9.06	-82.96		0	0	?	3 5 7 4	ACXN	BRYN	24	24.B.C 24.R.C 24.Y.V 24.N.c	2.0 1.5 1.5 0.8	ɸɺú/uŋ	0	3	ɸ ɺ ú/u ŋ
494	69_ash	ASH	Ngabere	Ngäbere	ŋɯbɾɯ	ŋɯbɾɯ	ŋ ɯ b ɾ ɯ	ngab1239	646	8.83	-82.39		0	0	?	4 7 1 5 7	AXBCZ	NIPRI	20	20.N.C 20.I.V 20.P.C 20.R.C 20.I.V	2.0 1.5 1.75 1.5 0.8	ŋɯbɾɯ	0	12	ŋ ɯ b ɾ ɯ
495	69_ash	ASH	Buglere	Buglere	mnu	mnu	m n u	bugl1243	646	8.58	-81.26		0	0	?	4 4 7	ACZ	MNY	6	6.M.C 6.N.C 6.Y.V	2.0 1.5 0.8	mnu	0	5	m n u
496	69_ash	ASH	Dorasque	Dorasque	bulku	bulku	b u l k u	dora1242	646	8.57	-82.38		0	0	?	1 7 5 1 7	AXMBZ	PYLKY	13	13.P.C 13.Y.V 13.L.c 13.K.C 13.Y.V	2.0 1.5 1.1 1.75 0.8	bulku	0	1	b u l - - k u
497	69_ash	ASH	SanBlasKuna	San Blas Kuna	puɾu	puɾu	p u ɾ u	sanb1242	646	9.16	-78.31		0	0	?	1 7 5 7	AXBZ	PYRY	23	23.P.C 23.Y.V 23.R.C 23.Y.V	2.0 1.5 1.75 0.8	puɾu	0	4	p u ɾ - - u
498	69_ash	ASH	Cogui	Cogui	'muli	'muli	'm/m u l i	cogu1240	646	10.95	-73.80		0	0	?	4 7 5 7	AXBZ	MYLI	12	12.M.C 12.Y.V 12.L.C 12.I.V	2.0 1.5 1.75 0.8	'm/muli	0	9	'm/m u l i
499	69_ash	ASH	Arhuaco	Arhuaco	'bunzəga	'bunzəga	'b/b u n z ə g a	arhu1242	646	10.70	-73.64		0	0	?	1 7 4 3 7 1 7	AXMBYBZ	PYNSEKA	1	1.P.C 1.Y.V 1.N.c 1.S.C 1.E.V 1.K.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	'b/bunzəga	0	1	'b/b u n z ə g a
500	69_ash	ASH	Malayo	Malayo	bɨn	bɨn	b ɨ n	mala1522	646	10.93	-73.42		0	0	?	1 7 4	AXN	PIN	16	16.P.C 16.I.V 16.N.c	2.0 1.5 0.8	bɨn	0	3	b - ɨ n
