# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	COGIDS	MORPHEMES	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAP
#
481	69_ash	ASH	LencaSalvador	Lenca-Salvador	pilil	pilil	p i l i l	lenc1242	646	13.56	-87.50		0	0	?	1 7 5 7 5	AXBYN	PILIL	15	15.P.C 15.I.V 15.L.C 15.I.V 15.L.c	2.0 1.5 1.75 1.3 0.8	pilil	0	10
482	69_ash	ASH	LencaHonduras	Lenca-Honduras	pokko	pokko	p o k k o	lenc1243	646	13.67	-88.11		0	0	?	1 7 1 1 7	AXMBZ	PUKKU	14	14.P.C 14.U.V 14.K.c 14.K.C 14.U.V	2.0 1.5 1.1 1.75 0.8	pokko	0	1
483	69_ash	ASH	Cacaopera	Cacaopera	wabu	wabu	w a b u	caca1247	646	13.74	-88.11		0	0	?	6 7 1 7	AXBZ	WAPY	8	8.W.C 8.A.V 8.P.C 8.Y.V	2.0 1.5 1.75 0.8	wabu	0	6
484	69_ash	ASH	Mayangna	Mayangna	wan	wan	w a n	maya1285	646	14.13	-84.34		0	0	?	6 7 4	AXN	WAN	18	18.W.C 18.A.V 18.N.c	2.0 1.5 0.8	wan	0	3
485	69_ash	ASH	Ulwa	Ulwa	kauh	kauh	k a u h	ulwa1239	646	12.93	-83.58		0	0	?	1 7 7 3	AXYN	KAYH	25	25.K.C 25.A.V 25.Y.V 25.H.c	2.0 1.5 1.3 0.8	kauh	0	14
486	69_ash	ASH	Miskito	Mískito	jamhpus	jamhpus	j a m h p u s	misk1239	646	15.16	-84.29		0	0	?	6 7 4 3 1 7 3	AXLMBYN	JAMHPYS	19	19.J.C 19.A.V 19.M.c 19.H.c 19.P.C 19.Y.V 19.S.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	jamhpus	0	11
487	69_ash	ASH	Pech	Pech	tokó	tokó	t o k ó/o	pech1241	646	15.80	-85.56		0	0	?	1 7 1 7	AXBZ	TUKU	21	21.T.C 21.U.V 21.K.C 21.U.V	2.0 1.5 1.75 0.8	tokó/o	0	13
488	69_ash	ASH	Rama	Rama	pluŋ	pluŋ	p l u ŋ	rama1270	646	11.50	-83.86		0	0	?	1 5 7 4	ACXN	PLYN	22	22.P.C 22.L.C 22.Y.V 22.N.c	2.0 1.5 1.5 0.8	pluŋ	0	3
489	69_ash	ASH	MalekuJaika	Maléku Jaíka	puɾu:	puɾu:	p u ɾ u:	male1297	646	10.75	-84.73		0	0	?	1 7 5 7	AXBZ	PYRY	17	17.P.C 17.Y.V 17.R.C 17.Y.V	2.0 1.5 1.75 0.8	puɾu:	0	4
490	69_ash	ASH	Boruca	Boruca	bɾùŋ	bɾùŋ	b ɾ ù/u ŋ	boru1252	646	8.88	-83.21		0	0	?	1 5 7 4	ACXN	PRYN	4	4.P.C 4.R.C 4.Y.V 4.N.c	2.0 1.5 1.5 0.8	bɾù/uŋ	0	3
491	69_ash	ASH	Bribri	Bribri	buɺṹ	buɺṹ	b u ɺ ṹ/ũ	brib1243	646	9.40	-83.05		0	0	?	1 7 5 7	AXBZ	PYRY	5	5.P.C 5.Y.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	buɺṹ/ũ	0	4
492	69_ash	ASH	Cabecar	Cabécar	buɺi᷅tú	buɺi᷅tú	b u ɺ i᷅/i t ú/u	cabe1245	646	9.67	-83.41		0	0	?	1 7 5 7 1 7	AXBYBZ	PYRITY	7	7.P.C 7.Y.V 7.R.C 7.I.V 7.T.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	buɺi᷅/itú/u	0	4
493	69_ash	ASH	Teribe	Teribe	ɸɺúŋ	ɸɺúŋ	ɸ ɺ ú/u ŋ	teri1250	646	9.06	-82.96		0	0	?	3 5 7 4	ACXN	BRYN	24	24.B.C 24.R.C 24.Y.V 24.N.c	2.0 1.5 1.5 0.8	ɸɺú/uŋ	0	3
