Glottocode	ID_in_Source	ID	Name	Family	Latitude	Longitude	Macroarea
arhu1242	Ica	Arhuaco	Arhuaco	Chibcha	10.7018	-73.6363	South America
bari1297	Ba	Bari	Barí	Chibcha	9.08497	-72.9353	South America
boru1252	Bor	Boruca	Boruca	Chibcha	8.88093	-83.2124	North America
brib1243	Bri	Bribri	Bribri	Chibcha	9.39794	-83.0539	North America
bugl1243	Boc	Buglere	Buglere	Chibcha	8.57695	-81.25648	North America
cabe1245	Cab	Cabecar	Cabécar	Chibcha	9.67031	-83.4102	North America
cent2150	Tun	CentralTunebo	Central Tunebo	Chibcha	6.8867	-72.097	South America
chib1270	Mu	Chibcha	Chibcha	Chibcha	6.24999	-74.1666	South America
chim1309	Chi	Chimila	Chimila	Chibcha	10.1902	-74.2559	South America
cogu1240	Co	Cogui	Cogui	Chibcha	10.9485	-73.8043	South America
dora1242	Dor	Dorasque	Dorasque	Chibcha	8.567442	-82.375717	North America
mala1522	Da	Malayo	Malayo	Chibcha	10.9286	-73.4056	South America
male1297	Gua	MalekuJaika	Maléku Jaíka	Chibcha	10.7485	-84.7318	North America
ngab1239	Mo	Ngabere	Ngäbere	Chibcha	8.8251	-82.3911	North America
pech1241	Pa	Pech	Pech	Chibcha	15.8033	-85.558	North America
rama1270	Ra	Rama	Rama	Chibcha	11.5007	-83.8571	North America
sanb1242	Cu	SanBlasKuna	San Blas Kuna	Chibcha	9.15686	-78.3075	South America
teri1250	Te	Teribe	Teribe	Chibcha	9.067	-82.9631	North America
kank1244	At	Atanque	Atanque	Chibcha	10.750207	-73.357544	South America
lenc1242	LS	LencaSalvador	Lenca-Salvador	Lencan	13.56	-87.5	North America
lenc1243	LH	LencaHonduras	Lenca-Honduras	Lencan	13.67	-88.11	North America
caca1247	Ca	Cacaopera	Cacaopera	Misumalpam	13.74	-88.11	North America
maya1285	Su	Mayangna	Mayangna	Misumalpam	14.13	-84.34	North America
ulwa1239	Ul	Ulwa	Ulwa	Misumalpam	12.93	-83.58	North America
misk1239	Mi	Miskito	Mískito	Misumalpam	15.16	-84.29	North America
