ID,Language,Form,Cognate Set,Concept,Source
1,Lenca-Salvador,wal,a,WATER,Constenla Umaña 2005
2,Lenca-Honduras,was,a,WATER,Constenla Umaña 2005
3,Cacaopera,li,b,WATER,Constenla Umaña 2005
4,Mayangna,was,a,WATER,Constenla Umaña 2005
5,Ulua,was,a,WATER,Constenla Umaña 2005
6,Mískito,li,b,WATER,Constenla Umaña 2005
7,Pech,àsò,,WATER,Constenla Umaña 2005
8,Rama,si:,c,WATER,Constenla Umaña 2005
9,Maléku Jaíka,ti:,c,WATER,Constenla Umaña 2005
10,Boruca,díʔ,c,WATER,Constenla Umaña 2005
11,Bribri,dǐʔ,c,WATER,Constenla Umaña 2005
12,Cabécar,díkɺʊ́,c,WATER,Constenla Umaña 2005
13,Teribe,dí,c,WATER,Constenla Umaña 2005
14,Ngäbere,ɲɤ,c,WATER,Constenla Umaña 2005
15,Boruca,tʃi,c,WATER,Constenla Umaña 2005
16,Dorasque,yi,c,WATER,Constenla Umaña 2005
17,San Blas Kuna,ti:,c,WATER,Constenla Umaña 2005
18,Cogui,ni,c,WATER,Constenla Umaña 2005
19,Ika,dʒe,c,WATER,Constenla Umaña 2005
20,Damana,'dʒiɾa,c,WATER,Constenla Umaña 2005
21,Chimila,ditake:,c,WATER,Constenla Umaña 2005
22,Chibcha,sie,c,WATER,Constenla Umaña 2005
23,Central Tunebo,'riʔa,c,WATER,Constenla Umaña 2005
24,Barí,sĩ: mã,c,WATER,Constenla Umaña 2005
25,Lenca-Salvador,ku,,YELLOW,Constenla Umaña 2005
26,Lenca-Honduras,suninga,,YELLOW,Constenla Umaña 2005
27,Cacaopera,maju,,YELLOW,Constenla Umaña 2005
28,Mayangna,lalahni,a,YELLOW,Constenla Umaña 2005
29,Ulua,lalahka,a,YELLOW,Constenla Umaña 2005
30,Mískito,lalalhni,a,YELLOW,Constenla Umaña 2005
31,Pech,sè: wa,,YELLOW,Constenla Umaña 2005
32,Rama,nuknukŋa,,YELLOW,Constenla Umaña 2005
33,Maléku Jaíka,ɬaxa:ɾa ɬutu iŋa,,YELLOW,Constenla Umaña 2005
34,Boruca,ʃòsát,,YELLOW,Constenla Umaña 2005
35,Bribri,tsikidǐdǐ,b,YELLOW,Constenla Umaña 2005
36,Cabécar,tsikidí,b,YELLOW,Constenla Umaña 2005
37,Teribe,ʃòinóɾ,,YELLOW,Constenla Umaña 2005
38,Ngäbere,sɯbɾɯɾe,,YELLOW,Constenla Umaña 2005
39,Boruca,moloi,,YELLOW,Constenla Umaña 2005
40,Dorasque,utká,,YELLOW,Constenla Umaña 2005
41,San Blas Kuna,kollokwa,,YELLOW,Constenla Umaña 2005
42,Cogui,kaʃiku'ama,c,YELLOW,Constenla Umaña 2005
43,Ika,'tʃəmmi,ch,YELLOW,Constenla Umaña 2005
44,Damana,kɨʃkwama,c,YELLOW,Constenla Umaña 2005
45,Chimila,tʃoŋgɾagwattu,,YELLOW,Constenla Umaña 2005
46,Chibcha,tɨβan,ch,YELLOW,Constenla Umaña 2005
47,Central Tunebo,ta'w̃aja,ch,YELLOW,Constenla Umaña 2005
48,Barí,kanikã: siũkdu,,YELLOW,Constenla Umaña 2005
49,Lenca-Salvador,waɾ,a,FASTEN,Constenla Umaña 2005
50,Lenca-Honduras,kup,,FASTEN,Constenla Umaña 2005
51,Cacaopera,wiri,a,FASTEN,Constenla Umaña 2005
52,Mayangna,sit,b,FASTEN,Constenla Umaña 2005
53,Ulua,sit,b,FASTEN,Constenla Umaña 2005
54,Mískito,wilk,a,FASTEN,Constenla Umaña 2005
55,Pech,tìk,,FASTEN,Constenla Umaña 2005
56,Rama,aŋais,,FASTEN,Constenla Umaña 2005
57,Maléku Jaíka,kera:,c,FASTEN,Constenla Umaña 2005
58,Boruca,íŋ,,FASTEN,Constenla Umaña 2005
59,Bribri,bõ,ch,FASTEN,Constenla Umaña 2005
60,Cabécar,bõ,ch,FASTEN,Constenla Umaña 2005
61,Teribe,ɸɺík,,FASTEN,Constenla Umaña 2005
62,Ngäbere,mɔgete,,FASTEN,Constenla Umaña 2005
63,Boruca,kagã,,FASTEN,Constenla Umaña 2005
64,Dorasque,bui,ch,FASTEN,Constenla Umaña 2005
65,San Blas Kuna,etinne,d,FASTEN,Constenla Umaña 2005
66,Cogui,akalihi,d,FASTEN,Constenla Umaña 2005
67,Ika,'aʔdʒ,,FASTEN,Constenla Umaña 2005
68,Damana,ɾinʒii,d,FASTEN,Constenla Umaña 2005
69,Chimila,sikke,b,FASTEN,Constenla Umaña 2005
70,Chibcha,kamɨ,,FASTEN,Constenla Umaña 2005
71,Central Tunebo,ke'ta,c,FASTEN,Constenla Umaña 2005
72,Barí,ju,,FASTEN,Constenla Umaña 2005
73,Lenca-Salvador,suN,,TREE,Constenla Umaña 2005
74,Lenca-Honduras,ili,,TREE,Constenla Umaña 2005
75,Cacaopera,man,a,TREE,Constenla Umaña 2005
76,Mayangna,pan,a,TREE,Constenla Umaña 2005
77,Ulua,pan,a,TREE,Constenla Umaña 2005
78,Mískito,dus,,TREE,Constenla Umaña 2005
79,Pech,pã̀jh,a,TREE,Constenla Umaña 2005
80,Rama,ka:t,b,TREE,Constenla Umaña 2005
81,Maléku Jaíka,ko:ɾa,b,TREE,Constenla Umaña 2005
82,Boruca,kɾáŋ,b,TREE,Constenla Umaña 2005
83,Bribri,káɺ,b,TREE,Constenla Umaña 2005
84,Cabécar,kaɺ,b,TREE,Constenla Umaña 2005
85,Teribe,kʰɔ́,b,TREE,Constenla Umaña 2005
86,Ngäbere,kɾi,b,TREE,Constenla Umaña 2005
87,Boruca,gli,b,TREE,Constenla Umaña 2005
88,Dorasque,kalkála,b,TREE,Constenla Umaña 2005
89,San Blas Kuna,sappi,,TREE,Constenla Umaña 2005
90,Cogui,'kali,b,TREE,Constenla Umaña 2005
91,Ika,kən,b,TREE,Constenla Umaña 2005
92,Damana,kɨn,b,TREE,Constenla Umaña 2005
93,Chimila,ka:,b,TREE,Constenla Umaña 2005
94,Chibcha,kɨe,b,TREE,Constenla Umaña 2005
95,Central Tunebo,'kaɾukwa,b,TREE,Constenla Umaña 2005
96,Barí,kã:,b,TREE,Constenla Umaña 2005
97,Lenca-Salvador,miʃea,,SAND,Constenla Umaña 2005
98,Lenca-Honduras,toko,,SAND,Constenla Umaña 2005
99,Cacaopera,kui,a,SAND,Constenla Umaña 2005
100,Mayangna,kauhmak,a,SAND,Constenla Umaña 2005
101,Ulua,ka:uhmak,a,SAND,Constenla Umaña 2005
102,Mískito,ahuja,,SAND,Constenla Umaña 2005
103,Pech,úʔù,b,SAND,Constenla Umaña 2005
104,Rama,unta:s,b,SAND,Constenla Umaña 2005
105,Maléku Jaíka,uɬi:xa,b,SAND,Constenla Umaña 2005
106,Boruca,ùb,b,SAND,Constenla Umaña 2005
107,Bribri,stsã̌ʔ,c,SAND,Constenla Umaña 2005
108,Cabécar,tsã́,c,SAND,Constenla Umaña 2005
109,Teribe,ɺa,,SAND,Constenla Umaña 2005
110,Ngäbere,ɯma,b,SAND,Constenla Umaña 2005
111,Boruca,uba,b,SAND,Constenla Umaña 2005
112,Dorasque,hálgu,,SAND,Constenla Umaña 2005
113,San Blas Kuna,ukkuppa,b,SAND,Constenla Umaña 2005
114,Cogui,'ui,b,SAND,Constenla Umaña 2005
115,Ika,'uzu,b,SAND,Constenla Umaña 2005
116,Damana,unʒu,b,SAND,Constenla Umaña 2005
117,Chimila,saʔssaɾi,c,SAND,Constenla Umaña 2005
118,Chibcha,ɣuantsa,b,SAND,Constenla Umaña 2005
119,Central Tunebo,'umita,b,SAND,Constenla Umaña 2005
120,Barí,ũda,b,SAND,Constenla Umaña 2005
121,Lenca-Salvador,ts'imts'im,a,BIRD,Constenla Umaña 2005
122,Lenca-Honduras,siɾa,a,BIRD,Constenla Umaña 2005
123,Cacaopera,wasiri,,BIRD,Constenla Umaña 2005
124,Mayangna,uhbin,,BIRD,Constenla Umaña 2005
125,Ulua,di: baka,,BIRD,Constenla Umaña 2005
126,Mískito,pjãwiɾa,,BIRD,Constenla Umaña 2005
127,Pech,kwàs,,BIRD,Constenla Umaña 2005
128,Rama,sinsak,a,BIRD,Constenla Umaña 2005
129,Maléku Jaíka,ŋiskaka:,,BIRD,Constenla Umaña 2005
130,Boruca,dù,b,BIRD,Constenla Umaña 2005
131,Bribri,dú,b,BIRD,Constenla Umaña 2005
132,Cabécar,dù,b,BIRD,Constenla Umaña 2005
133,Teribe,sínũã̀,,BIRD,Constenla Umaña 2005
134,Ngäbere,nukwɔ,b,BIRD,Constenla Umaña 2005
135,Boruca,bdada,,BIRD,Constenla Umaña 2005
136,Dorasque,dul,b,BIRD,Constenla Umaña 2005
137,San Blas Kuna,sikkwi,,BIRD,Constenla Umaña 2005
138,Cogui,nu'ba,b,BIRD,Constenla Umaña 2005
139,Ika,si'sio,a,BIRD,Constenla Umaña 2005
140,Damana,suɾi,c,BIRD,Constenla Umaña 2005
141,Chimila,ki:tikkwi,,BIRD,Constenla Umaña 2005
142,Chibcha,sue,b,BIRD,Constenla Umaña 2005
143,Central Tunebo,ɾu'wasiɾa,b,BIRD,Constenla Umaña 2005
144,Barí,daníkbi,,BIRD,Constenla Umaña 2005
145,Lenca-Salvador,uli,a,DANCE,Constenla Umaña 2005
146,Lenca-Honduras,ul,a,DANCE,Constenla Umaña 2005
147,Cacaopera,jaukan,,DANCE,Constenla Umaña 2005
148,Mayangna,ubu,,DANCE,Constenla Umaña 2005
149,Ulwa,aba:,,DANCE,Constenla Umaña 2005
150,Mískito,dans pul,,DANCE,Constenla Umaña 2005
151,Pech,wiʔ,b,DANCE,Constenla Umaña 2005
152,Rama,katapaik,,DANCE,Constenla Umaña 2005
153,Maléku Jaíka,ɬi:la,,DANCE,Constenla Umaña 2005
154,Boruca,kuìk,b,DANCE,Constenla Umaña 2005
155,Bribri,kaɺʊ́tɪ,c,DANCE,Constenla Umaña 2005
156,Cabécar,kaɺʊ́tɪ,c,DANCE,Constenla Umaña 2005
157,Teribe,tʰàŋnióŋ,,DANCE,Constenla Umaña 2005
158,Ngäbere,bradʒe,,DANCE,Constenla Umaña 2005
159,Boruca,gwie,b,DANCE,Constenla Umaña 2005
160,Dorasque,kúyi,b,DANCE,Constenla Umaña 2005
161,San Blas Kuna,kuile,b,DANCE,Constenla Umaña 2005
162,Cogui,kuiz,b,DANCE,Constenla Umaña 2005
163,Ika,kué,b,DANCE,Constenla Umaña 2005
164,Damana,ku'i,b,DANCE,Constenla Umaña 2005
165,Chimila,kuiahné,b,DANCE,Constenla Umaña 2005
166,Chibcha,tsahana,,DANCE,Constenla Umaña 2005
167,Central Tunebo,ki'ni,,DANCE,Constenla Umaña 2005
168,Barí,asi,,DANCE.,Constenla Umaña 2005
169,Lenca-Salvador,tali,a,DRINK,Constenla Umaña 2005
170,Lenca-Honduras,tal,a,DRINK,Constenla Umaña 2005
171,Cacaopera,dipa,b,DRINK,Constenla Umaña 2005
172,Mayangna,di,b,DRINK,Constenla Umaña 2005
173,Ulwa,di,b,DRINK,Constenla Umaña 2005
174,Mískito,di,b,DRINK,Constenla Umaña 2005
175,Pech,tòk,,DRINK,Constenla Umaña 2005
176,Rama,ŋw,,DRINK,Constenla Umaña 2005
177,Maléku Jaíka,tʃa:,c,DRINK,Constenla Umaña 2005
178,Boruca,dʒáŋ,c,DRINK,Constenla Umaña 2005
179,Bribri,dʒa,c,DRINK,Constenla Umaña 2005
180,Cabécar,dʒɪ,c,DRINK,Constenla Umaña 2005
181,Teribe,iɪ́,c,DRINK,Constenla Umaña 2005
182,Ngäbere,ɲã,c,DRINK,Constenla Umaña 2005
183,Boruca,hai,,DRINK,Constenla Umaña 2005
184,Dorasque,bot,,DRINK,Constenla Umaña 2005
185,San Blas Kuna,kope,,DRINK,Constenla Umaña 2005
186,Cogui,'tuʃi,,DRINK,Constenla Umaña 2005
187,Ika,aʔg,ch,DRINK,Constenla Umaña 2005
188,Damana,anga,ch,DRINK,Constenla Umaña 2005
189,Chimila,uk,,DRINK,Constenla Umaña 2005
190,Chibcha,iohotɨ,,DRINK,Constenla Umaña 2005
191,Central Tunebo,'jaʔa,c,DRINK,Constenla Umaña 2005
192,Barí,a:ksa,,DRINK,Constenla Umaña 2005
193,Lenca-Salvador,ʃoko,a,WHITE,Constenla Umaña 2005
194,Lenca-Honduras,soko,a,WHITE,Constenla Umaña 2005
195,Cacaopera,sahu,,WHITE,Constenla Umaña 2005
196,Mayangna,pihni,b,WHITE,Constenla Umaña 2005
197,Ulua,pihka,b,WHITE,Constenla Umaña 2005
198,Mískito,pihni,b,WHITE,Constenla Umaña 2005
199,Pech,kàbísás,,WHITE,Constenla Umaña 2005
200,Rama,plu:ma,ch,WHITE,Constenla Umaña 2005
201,Maléku Jaíka,ʝaki: pala: iŋa:,,WHITE,Constenla Umaña 2005
202,Boruca,suát,,WHITE,Constenla Umaña 2005
203,Bribri,sadǔdǔ,ch,WHITE,Constenla Umaña 2005
204,Cabécar,sadúù,ch,WHITE,Constenla Umaña 2005
205,Teribe,ɸɺùɾún,c,WHITE,Constenla Umaña 2005
206,Ngäbere,ŋweɲe,,WHITE,Constenla Umaña 2005
207,Boruca,hutɾe,,WHITE,Constenla Umaña 2005
208,Dorasque,bokkála,,WHITE,Constenla Umaña 2005
209,San Blas Kuna,sippu,,WHITE,Constenla Umaña 2005
210,Cogui,a'butʃi,,WHITE,Constenla Umaña 2005
211,Ika,'bunsi kawa,c,WHITE,Constenla Umaña 2005
212,Damana,ambɨnʃi,c,WHITE,Constenla Umaña 2005
213,Chimila,so:motu:,,WHITE,Constenla Umaña 2005
214,Chibcha,pkɨhɨsio,,WHITE,Constenla Umaña 2005
215,Central Tunebo,kwa'sajɾo,,WHITE,Constenla Umaña 2005
216,Barí,batti,,WHITE.,Constenla Umaña 2005
217,Lenca-Salvador,ints'ats'a,a,MOUTH,Constenla Umaña 2005
218,Lenca-Honduras,in,a,MOUTH,Constenla Umaña 2005
219,Cacaopera,tawa,b,MOUTH,Constenla Umaña 2005
220,Mayangna,tapas,b,MOUTH,Constenla Umaña 2005
221,Ulwa,tapas,b,MOUTH,Constenla Umaña 2005
222,Mískito,bila,,MOUTH,Constenla Umaña 2005
223,Pech,sà:pà,b,MOUTH,Constenla Umaña 2005
224,Rama,kaka:,c,MOUTH,Constenla Umaña 2005
225,Maléku Jaíka,koki:,c,MOUTH,Constenla Umaña 2005
226,Boruca,kásà,c,MOUTH,Constenla Umaña 2005
227,Bribri,axkʊ́,c,MOUTH,Constenla Umaña 2005
228,Cabécar,hkʊ́,c,MOUTH,Constenla Umaña 2005
229,Teribe,kʰámo,c,MOUTH,Constenla Umaña 2005
230,Ngäbere,kada,c,MOUTH,Constenla Umaña 2005
231,Boruca,ka,c,MOUTH,Constenla Umaña 2005
232,Dorasque,kaga,c,MOUTH,Constenla Umaña 2005
233,San Blas Kuna,kakka,c,MOUTH,Constenla Umaña 2005
234,Cogui,'kaka,c,MOUTH,Constenla Umaña 2005
235,Ika,kəkka,c,MOUTH,Constenla Umaña 2005
236,Damana,kə'ka,c,MOUTH,Constenla Umaña 2005
237,Chimila,kakkwa,c,MOUTH,Constenla Umaña 2005
238,Chibcha,kɨhɨka,c,MOUTH,Constenla Umaña 2005
239,Central Tunebo,'kahka,c,MOUTH,Constenla Umaña 2005
240,Barí,kaksiu:,c,MOUTH,Constenla Umaña 2005
241,Lenca-Salvador,kotaN,a,FOREST,Constenla Umaña 2005
242,Lenca-Honduras,kotan,a,FOREST,Constenla Umaña 2005
243,Cacaopera,jura,,FOREST,Constenla Umaña 2005
244,Mayangna,asaŋpas,b,FOREST,Constenla Umaña 2005
245,Ulua,asaŋpas,b,FOREST,Constenla Umaña 2005
246,Mískito,unta,,FOREST,Constenla Umaña 2005
247,Pech,wàhà,,FOREST,Constenla Umaña 2005
248,Rama,sulaik,,FOREST,Constenla Umaña 2005
249,Maléku Jaíka,tuɾu:,,FOREST,Constenla Umaña 2005
250,Boruca,dʒàbáʔtʃìk,,FOREST,Constenla Umaña 2005
251,Bribri,káɺdʒʊ̀k,c,FOREST,Constenla Umaña 2005
