# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	COGIDS	MORPHEMES	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAP
#
487	69_ash	ASH	Pech	Pech	tokó	tokó	t o k ó/o	pech1241	646	15.8033	-85.558		444	0	?		1 7 1 7	AXBZ	TUKU	21	21.T.C 21.U.V 21.K.C 21.U.V	2.0 1.5 1.75 0.8	tokó/o	0	13
488	69_ash	ASH	Rama	Rama	pluŋ	pluŋ	p l u ŋ	rama1270	646	11.5007	-83.8571		90	0	?	p l u - ŋ - - - -	1 5 7 4	ACXN	PLYN	22	22.P.C 22.L.C 22.Y.V 22.N.c	2.0 1.5 1.5 0.8	pluŋ	0	3
489	69_ash	ASH	MalekuJaika	Maléku Jaíka	puɾu:	puɾu:	p u ɾ u:	male1297	646	10.7485	-84.7318		90	0	?	p - u - ɾ - u: - -	1 7 5 7	AXBZ	PYRY	17	17.P.C 17.Y.V 17.R.C 17.Y.V	2.0 1.5 1.75 0.8	puɾu:	0	4
490	69_ash	ASH	Boruca	Boruca	bɾùŋ	bɾùŋ	b ɾ ù/u ŋ	boru1252	646	8.88093	-83.2124		90	0	?	b - ɾ ù/u ŋ - - - -	1 5 7 4	ACXN	PRYN	4	4.P.C 4.R.C 4.Y.V 4.N.c	2.0 1.5 1.5 0.8	bɾù/uŋ	0	3
491	69_ash	ASH	Bribri	Bribri	buɺṹ	buɺṹ	b u ɺ ṹ/ũ	brib1243	646	9.39794	-83.0539		90	0	?	b - u - ɺ ṹ/ũ - - -	1 7 5 7	AXBZ	PYRY	5	5.P.C 5.Y.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	buɺṹ/ũ	0	4
492	69_ash	ASH	Cabecar	Cabécar	buɺi᷅tú	buɺi᷅tú	b u ɺ i᷅/i t ú/u	cabe1245	646	9.67031	-83.4102		90	0	?	b - u - ɺ - i᷅/i t ú/u	1 7 5 7 1 7	AXBYBZ	PYRITY	7	7.P.C 7.Y.V 7.R.C 7.I.V 7.T.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	buɺi᷅/itú/u	0	4
493	69_ash	ASH	Teribe	Teribe	ɸɺúŋ	ɸɺúŋ	ɸ ɺ ú/u ŋ	teri1250	646	9.067	-82.9631		90	0	?	ɸ ɺ ú/u - ŋ - - - -	3 5 7 4	ACXN	BRYN	24	24.B.C 24.R.C 24.Y.V 24.N.c	2.0 1.5 1.5 0.8	ɸɺú/uŋ	0	3
494	69_ash	ASH	Ngabere	Ngäbere	ŋɯbɾɯ	ŋɯbɾɯ	ŋ ɯ b ɾ ɯ	ngab1239	646	8.8251	-82.3911		90	0	?	ŋ - ɯ - b ɾ ɯ - -	4 7 1 5 7	AXBCZ	NIPRI	20	20.N.C 20.I.V 20.P.C 20.R.C 20.I.V	2.0 1.5 1.75 1.5 0.8	ŋɯbɾɯ	0	12
495	69_ash	ASH	Buglere	Buglere	mnu	mnu	m n u	bugl1243	646	8.57695	-81.25648		90	0	?	m - - - n - u - -	4 4 7	ACZ	MNY	6	6.M.C 6.N.C 6.Y.V	2.0 1.5 0.8	mnu	0	5
