# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	COGID	COGIDS	MORPHEMES	TOKENS	COGNACY	GLOTTOCODE	CONCEPTICON	COMMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	ALIGNMENT
#
481	69_ash	ASH	LencaSalvador	Lenca-Salvador	pilil	pilil		11		p i l i l	270		646		1 7 5 7 5	AXBYN	PILIL	15	15.P.C 15.I.V 15.L.C 15.I.V 15.L.c	2.0 1.5 1.75 1.3 0.8	pilil	0	p i l i l
482	69_ash	ASH	LencaHonduras	Lenca-Honduras	pokko	pokko		10		p o k o	271		646		1 7 1 7	AXBZ	PUKU	14	14.P.C 14.U.V 14.K.C 14.U.V	2.0 1.5 1.75 0.8	poko	0	p o - k o
483	69_ash	ASH	Cacaopera	Cacaopera	wabu	wabu		6		w a b u	272		646		6 7 1 7	AXBZ	WAPY	8	8.W.C 8.A.V 8.P.C 8.Y.V	2.0 1.5 1.75 0.8	wabu	0	w a b u
484	69_ash	ASH	Mayangna	Mayangna	wan	wan		12		w a n	272		646		6 7 4	AXN	WAN	18	18.W.C 18.A.V 18.N.c	2.0 1.5 0.8	wan	0	w a n
485	69_ash	ASH	Ulwa	Ulwa	kauh	kauh		16		k a u h	273		646		1 7 7 3	AXYN	KAYH	25	25.K.C 25.A.V 25.Y.V 25.H.c	2.0 1.5 1.3 0.8	kauh	0	k a u h
486	69_ash	ASH	Miskito	Mískito	jamhpus	jamhpus		13		j a m h p u s	274		646		6 7 4 3 1 7 3	AXLMBYN	JAMHPYS	19	19.J.C 19.A.V 19.M.c 19.H.c 19.P.C 19.Y.V 19.S.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	jamhpus	0	j a m h p u s
487	69_ash	ASH	Pech	Pech	tokó	tokó		15		t o k ó/o	275		646		1 7 1 7	AXBZ	TUKU	21	21.T.C 21.U.V 21.K.C 21.U.V	2.0 1.5 1.75 0.8	tokó/o	0	t o k ó/o
488	69_ash	ASH	Rama	Rama	pluŋ	pluŋ		3		p l u ŋ	270		646		1 5 7 4	ACXN	PLYN	22	22.P.C 22.L.C 22.Y.V 22.N.c	2.0 1.5 1.5 0.8	pluŋ	0	p l u ŋ
489	69_ash	ASH	MalekuJaika	Maléku Jaíka	puɾu:	puɾu:		4		p u ɾ uː	270		646		1 7 5 7	AXBZ	PYRY	17	17.P.C 17.Y.V 17.R.C 17.Y.V	2.0 1.5 1.75 0.8	puɾuː	0	p u ɾ - - uː
490	69_ash	ASH	Boruca	Boruca	bɾùŋ	bɾùŋ		3		b ɾ ù/u ŋ	270		646		1 5 7 4	ACXN	PRYN	4	4.P.C 4.R.C 4.Y.V 4.N.c	2.0 1.5 1.5 0.8	bɾù/uŋ	0	b ɾ ù/u ŋ
491	69_ash	ASH	Bribri	Bribri	buɺṹ	buɺṹ		4		b u ɺ ṹ/ũ	270		646		1 7 5 7	AXBZ	PYRY	5	5.P.C 5.Y.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	buɺṹ/ũ	0	b u ɺ - - ṹ/ũ
492	69_ash	ASH	Cabecar	Cabécar	buɺi᷅tú	buɺi᷅tú		4		b u ɺ i᷅/i t ú/u	270		646		1 7 5 7 1 7	AXBYBZ	PYRITY	7	7.P.C 7.Y.V 7.R.C 7.I.V 7.T.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	buɺi᷅/itú/u	0	b u ɺ i᷅/i t ú/u
493	69_ash	ASH	Teribe	Teribe	ɸɺúŋ	ɸɺúŋ		3		ɸ ɺ ú/u ŋ	270		646		3 5 7 4	ACXN	BRYN	24	24.B.C 24.R.C 24.Y.V 24.N.c	2.0 1.5 1.5 0.8	ɸɺú/uŋ	0	ɸ ɺ ú/u ŋ
494	69_ash	ASH	Ngabere	Ngäbere	ŋɯbɾɯ	ŋɯbɾɯ		14		ŋ ɯ b ɾ ɯ	270		646		4 7 1 5 7	AXBCZ	NIPRI	20	20.N.C 20.I.V 20.P.C 20.R.C 20.I.V	2.0 1.5 1.75 1.5 0.8	ŋɯbɾɯ	0	ŋ ɯ b ɾ ɯ
495	69_ash	ASH	Buglere	Buglere	mnu	mnu		5		m n u	270		646		4 4 7	ACZ	MNY	6	6.M.C 6.N.C 6.Y.V	2.0 1.5 0.8	mnu	0	m n u
496	69_ash	ASH	Dorasque	Dorasque	bulku	bulku		10		b u l k u	270		646		1 7 5 1 7	AXMBZ	PYLKY	13	13.P.C 13.Y.V 13.L.c 13.K.C 13.Y.V	2.0 1.5 1.1 1.75 0.8	bulku	0	b u l k u
497	69_ash	ASH	SanBlasKuna	San Blas Kuna	puɾu	puɾu		4		p u ɾ u	270		646		1 7 5 7	AXBZ	PYRY	23	23.P.C 23.Y.V 23.R.C 23.Y.V	2.0 1.5 1.75 0.8	puɾu	0	p u ɾ - - u
498	69_ash	ASH	Cogui	Cogui	'muli	'muli		9		'm/m u l i	270		646		4 7 5 7	AXBZ	MYLI	12	12.M.C 12.Y.V 12.L.C 12.I.V	2.0 1.5 1.75 0.8	'm/muli	0	'm/m u l i
499	69_ash	ASH	Arhuaco	Arhuaco	'bunzəga	'bunzəga		1		'b/b u n z ə g a	270		646		1 7 4 3 7 1 7	AXMBYBZ	PYNSEKA	1	1.P.C 1.Y.V 1.N.c 1.S.C 1.E.V 1.K.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	'b/bunzəga	0	'b/b u n z ə g a
500	69_ash	ASH	Malayo	Malayo	bɨn	bɨn		12		b ɨ n	270		646		1 7 4	AXN	PIN	16	16.P.C 16.I.V 16.N.c	2.0 1.5 0.8	bɨn	0	b ɨ n
